,datasetId,dsName,sumFormula,adduct,type
23322,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C10H11NO,+Na,on
23323,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C7H15NO2,+K,on
23324,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C8H17NO2,+K,on
23325,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H8O3,+H,off
23326,2016-09-21_16h07m21s,UoNotreDame//Untreated_6_574,C11H6O3,+H,off
23327,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C11H8N2,-H,off
23331,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H22O4,-H,off
23332,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C10H16N4O7S,-H,off
23336,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C16H19N3O4S,-H,off
23337,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H18O5,-H,off
23338,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C18H22O5S,-H,off
23341,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C18H21O6S,-H,off
23345,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C24H26O7,-H,off
23346,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H20O8S,-H,off
23347,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H22O8S,-H,off
23348,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C24H17O8,-H,off
23350,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C18H24O8S2,-H,off
23351,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H24O8S,-H,off
23352,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C25H26O7,-H,off
23353,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C18H20O13,-H,off
23358,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H20O9S,-H,off
23359,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C27H46O4S,-H,on
23367,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C20H16O15,-H,off
23369,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H45NO6S,-H,off
23370,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H28O10,-H,off
23371,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H30N2O9,-H,off
23373,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C19H34O15,-H,off
23374,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H31N3O9S,-H,off
23375,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C29H41NO7,-H,off
23376,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H45NO7S,-H,off
23377,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H28O11,-H,off
23378,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C19H34O16,-H,off
23379,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H34O15,-H,off
23382,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C20H30N4O12,-H,off
23383,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C25H32O13,-H,off
23385,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C26H30O13,-H,off
23389,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C37H52O6,-H,off
23391,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C37H52O7,-H,off
23393,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C24H42O21,-H,off
23395,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C25H44O21,-H,off
23396,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H53N7O6,-H,off
23397,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C37H71O8P,-H,on
23398,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C37H69O8P,-H,on
23399,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H40O13,-H,off
23400,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C30H39N3O13S,-H,off
23401,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H42O13,-H,off
23402,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H44O13,-H,off
23403,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C35H68NO10P,-H,off
23404,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H63NO7,-H,off
23405,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H69O8P,-H,on
23406,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H71O8P,-H,on
23407,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H63NO7,-H,off
23408,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H68NO10P,-H,off
23412,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H74NO8P,-H,on
23413,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H76NO8P,-H,on
23414,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H74NO7P,-H,on
23415,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H78NO8P,-H,on
23416,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H76NO8P,-H,on
23417,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H74NO8P,-H,on
23418,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H73O8P,-H,on
23419,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C41H80NO8P,-H,on
23420,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C36H61NO15,-H,off
23421,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C40H77O10P,-H,on
23422,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H78NO7P,-H,on
23423,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C40H76NO10P,-H,on
23424,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H44N4O12,-H,off
23425,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C45H44O11,-H,off
23426,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C40H74NO10P,-H,on
23428,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H74NO8P,-H,on
23429,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H76NO8P,-H,on
23430,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C21H36N7O16P3S,-H,on
23431,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C40H77NO11S,-H,on
23433,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C38H41O17,-H,off
23434,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H78NO8P,-H,on
23435,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H74NO10P,-H,on
23436,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C27H33N9O15P2,-H,on
23437,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H78NO10P,-H,on
23438,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H80NO10P,-H,on
23439,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H77O8P,-H,on
23440,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H70O14,-H,on
23441,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H77O10P,-H,on
23442,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H68O14,-H,on
23443,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H76NO8P,-H,on
23444,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H81NO11S,-H,on
23447,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H73O10P,-H,off
23448,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C39H78O13P2,-H,off
23449,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H78NO10P,-H,on
23450,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H77NO10P,-H,on
23452,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H79O13P,-H,on
23453,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H85NO11S,-H,on
23454,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C43H81O13P,-H,on
23457,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H80NO10P,-H,on
23458,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C44H72NO12P,-H,on
23459,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C45H79O13P,-H,on
23460,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C42H84O13P2,-H,on
23461,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H78NO10P,-H,on
23462,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C45H81O13P,-H,on
23463,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H89NO11S,-H,on
23464,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H82NO10P,-H,on
23465,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C45H83O13P,-H,on
23466,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C48H80NO10P,-H,on
23467,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C50H90O7P2,-H,on
23468,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C46H76NO12P,-H,on
23471,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H81O13P,-H,on
23472,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C49H87NO10P,-H,on
23473,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C49H86NO10P,-H,on
23474,2018-05-15_22h57m40s,PS_7_P7_N1_30um_New,C47H78NO12P,-H,on
